civicgit_api  | INFO:     Will watch for changes in these directories: ['/app']
civicgit_api  | INFO:     172.19.0.1:57488 - "GET /api/v1/users HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:33108 - "GET /api/v1/admin/metrics HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33124 - "GET /api/v1/admin/proposals HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:57500 - "GET /api/v1/admin/activity HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33100 - "GET /api/v1/admin/issues HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:57508 - "GET /api/v1/users/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:57488 - "GET /api/v1/admin/repositories HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33108 - "GET /api/v1/admin/proposals HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33124 - "GET /api/v1/admin/metrics HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33100 - "GET /api/v1/admin/issues HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:57500 - "GET /api/v1/admin/activity HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:57508 - "GET /api/v1/users/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:57500 - "GET /api/v1/admin/issues HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:57488 - "GET /api/v1/admin/proposals HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33100 - "GET /api/v1/admin/activity HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33124 - "GET /api/v1/admin/metrics HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33108 - "GET /api/v1/admin/repositories HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:57508 - "GET /api/v1/users/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:57500 - "GET /api/v1/admin/issues HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33100 - "GET /api/v1/admin/activity HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:57488 - "GET /api/v1/admin/proposals HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33124 - "GET /api/v1/admin/metrics HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:57508 - "GET /api/v1/users/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33108 - "GET /api/v1/admin/repositories HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:43042 - "GET /api/v1/repositories HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:43042 - "GET /api/v1/repositories HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:43058 - "GET /api/v1/repositories/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:43058 - "GET /api/v1/repositories/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:43058 - "GET /api/v1/proposals HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:43042 - "GET /api/v1/repositories HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:43058 - "GET /api/v1/proposals HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:43042 - "GET /api/v1/repositories HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:43042 - "GET /api/v1/proposals/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:43058 - "GET /api/v1/repositories/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:43042 - "GET /api/v1/proposals/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:43058 - "GET /api/v1/repositories/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:43064 - "GET /api/v1/repositories HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:43064 - "GET /api/v1/repositories HTTP/1.1" 307 Temporary Redirect
civicgit_api  | 2025-11-24 18:02:32,956 - civicgit.security - WARNING - Token verification failed: Signature has expired.
civicgit_api  | INFO:     172.19.0.1:42796 - "GET /api/v1/auth/me HTTP/1.1" 401 Unauthorized
civicgit_api  | 2025-11-24 18:02:32,963 - civicgit.security - WARNING - Token verification failed: Signature has expired.
civicgit_api  | INFO:     172.19.0.1:42796 - "GET /api/v1/auth/me HTTP/1.1" 401 Unauthorized
civicgit_api  | INFO:     172.19.0.1:42808 - "GET /api/v1/repositories/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:42808 - "GET /api/v1/repositories/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:43940 - "GET /health HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:47606 - "GET /health HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:47608 - "GET /health/db HTTP/1.1" 200 OK
civicgit_api  | WARNING:  WatchFiles detected changes in 'app/models/repository.py'. Reloading...
civicgit_api  | INFO:     Shutting down
civicgit_api  | INFO:     Waiting for application shutdown.
civicgit_api  | 2025-11-24 18:32:23,199 - civicgit - INFO - Encerrando CivicGit Backend...
civicgit_api  | INFO:     Application shutdown complete.
civicgit_api  | INFO:     Finished server process [8]
civicgit_api  | INFO:     Started server process [51]
civicgit_api  | INFO:     Waiting for application startup.
civicgit_api  | 2025-11-24 18:32:26,383 - civicgit - INFO - Iniciando CivicGit Backend...
civicgit_api  | 2025-11-24 18:32:26,427 - civicgit - INFO - Tabelas do banco de dados criadas com sucesso!
civicgit_api  | INFO:     Application startup complete.
civicgit_api  | WARNING:  WatchFiles detected changes in 'app/models/repository.py'. Reloading...
civicgit_api  | INFO:     Shutting down
civicgit_api  | INFO:     Waiting for application shutdown.
civicgit_api  | 2025-11-24 18:32:46,591 - civicgit - INFO - Encerrando CivicGit Backend...
civicgit_api  | INFO:     Application shutdown complete.
civicgit_api  | INFO:     Finished server process [51]
civicgit_api  | INFO:     Started server process [52]
civicgit_api  | INFO:     Waiting for application startup.
civicgit_api  | 2025-11-24 18:32:48,272 - civicgit - INFO - Iniciando CivicGit Backend...
civicgit_api  | 2025-11-24 18:32:48,310 - civicgit - INFO - Tabelas do banco de dados criadas com sucesso!
civicgit_api  | INFO:     Application startup complete.
civicgit_api  | WARNING:  WatchFiles detected changes in 'app/db/migrations/versions/202411241535_update_repository_visibility.py'. Reloading...
civicgit_api  | INFO:     Shutting down
civicgit_api  | INFO:     Waiting for application shutdown.
civicgit_api  | 2025-11-24 18:33:10,079 - civicgit - INFO - Encerrando CivicGit Backend...
civicgit_api  | INFO:     Application shutdown complete.
civicgit_api  | INFO:     Finished server process [52]
civicgit_api  | INFO:     Started server process [53]
civicgit_api  | INFO:     Waiting for application startup.
civicgit_api  | 2025-11-24 18:33:12,262 - civicgit - INFO - Iniciando CivicGit Backend...
civicgit_api  | 2025-11-24 18:33:12,311 - civicgit - INFO - Tabelas do banco de dados criadas com sucesso!
civicgit_api  | INFO:     Application startup complete.
civicgit_api  | WARNING:  WatchFiles detected changes in 'app/api/deps.py'. Reloading...
civicgit_api  | INFO:     Shutting down
civicgit_api  | 2025-11-24 18:33:12,514 - civicgit - INFO - Encerrando CivicGit Backend...
civicgit_api  | INFO:     Waiting for application shutdown.
civicgit_api  | INFO:     Application shutdown complete.
civicgit_api  | INFO:     Finished server process [53]
civicgit_api  | INFO:     Started server process [54]
civicgit_api  | INFO:     Waiting for application startup.
civicgit_api  | 2025-11-24 18:33:14,336 - civicgit - INFO - Iniciando CivicGit Backend...
civicgit_api  | 2025-11-24 18:33:14,374 - civicgit - INFO - Tabelas do banco de dados criadas com sucesso!
civicgit_api  | INFO:     Application startup complete.
civicgit_api  | WARNING:  WatchFiles detected changes in 'app/api/v1/endpoints/repositories.py'. Reloading...
civicgit_api  | INFO:     Shutting down
civicgit_api  | INFO:     Waiting for application shutdown.
civicgit_api  | 2025-11-24 18:33:54,994 - civicgit - INFO - Encerrando CivicGit Backend...
civicgit_api  | INFO:     Application shutdown complete.
civicgit_api  | INFO:     Finished server process [54]
civicgit_api  | INFO:     Started server process [55]
civicgit_api  | INFO:     Waiting for application startup.
civicgit_api  | 2025-11-24 18:33:56,602 - civicgit - INFO - Iniciando CivicGit Backend...
civicgit_api  | 2025-11-24 18:33:56,644 - civicgit - INFO - Tabelas do banco de dados criadas com sucesso!
civicgit_api  | INFO:     Application startup complete.
civicgit_api  | WARNING:  WatchFiles detected changes in 'app/api/v1/endpoints/repositories.py'. Reloading...
civicgit_api  | INFO:     Shutting down
civicgit_api  | INFO:     Waiting for application shutdown.
civicgit_api  | 2025-11-24 18:33:57,548 - civicgit - INFO - Encerrando CivicGit Backend...
civicgit_api  | INFO:     Application shutdown complete.
civicgit_api  | INFO:     Finished server process [55]
civicgit_api  | INFO:     Started server process [56]
civicgit_api  | INFO:     Waiting for application startup.
civicgit_api  | 2025-11-24 18:33:59,063 - civicgit - INFO - Iniciando CivicGit Backend...
civicgit_api  | 2025-11-24 18:33:59,101 - civicgit - INFO - Tabelas do banco de dados criadas com sucesso!
civicgit_api  | INFO:     Application startup complete.
civicgit_api  | WARNING:  WatchFiles detected changes in 'app/api/v1/endpoints/repositories.py'. Reloading...
civicgit_api  | INFO:     Shutting down
civicgit_api  | 2025-11-24 18:33:59,703 - civicgit - INFO - Encerrando CivicGit Backend...
civicgit_api  | INFO:     Waiting for application shutdown.
civicgit_api  | INFO:     Application shutdown complete.
civicgit_api  | INFO:     Finished server process [56]
civicgit_api  | INFO:     Started server process [57]
civicgit_api  | INFO:     Waiting for application startup.
civicgit_api  | 2025-11-24 18:34:01,215 - civicgit - INFO - Iniciando CivicGit Backend...
civicgit_api  | 2025-11-24 18:34:01,260 - civicgit - INFO - Tabelas do banco de dados criadas com sucesso!
civicgit_api  | INFO:     Application startup complete.
civicgit_api  | WARNING:  WatchFiles detected changes in 'app/api/v1/endpoints/repositories.py'. Reloading...
civicgit_api  | INFO:     Shutting down
civicgit_api  | INFO:     Waiting for application shutdown.
civicgit_api  | 2025-11-24 18:34:01,764 - civicgit - INFO - Encerrando CivicGit Backend...
civicgit_api  | INFO:     Application shutdown complete.
civicgit_api  | INFO:     Finished server process [57]
civicgit_api  | INFO:     Started server process [58]
civicgit_api  | INFO:     Waiting for application startup.
civicgit_api  | 2025-11-24 18:34:03,322 - civicgit - INFO - Iniciando CivicGit Backend...
civicgit_api  | 2025-11-24 18:34:03,361 - civicgit - INFO - Tabelas do banco de dados criadas com sucesso!
civicgit_api  | INFO:     Application startup complete.
civicgit_api  | WARNING:  WatchFiles detected changes in 'app/api/v1/endpoints/proposals.py'. Reloading...
civicgit_api  | INFO:     Shutting down
civicgit_api  | INFO:     Waiting for application shutdown.
civicgit_api  | 2025-11-24 18:34:38,474 - civicgit - INFO - Encerrando CivicGit Backend...
civicgit_api  | INFO:     Application shutdown complete.
civicgit_api  | INFO:     Finished server process [58]
civicgit_api  | INFO:     Started server process [59]
civicgit_api  | INFO:     Waiting for application startup.
civicgit_api  | 2025-11-24 18:34:40,620 - civicgit - INFO - Iniciando CivicGit Backend...
civicgit_api  | 2025-11-24 18:34:40,663 - civicgit - INFO - Tabelas do banco de dados criadas com sucesso!
civicgit_api  | INFO:     Application startup complete.
civicgit_api  | INFO:     172.19.0.1:48896 - "GET /health HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:48906 - "GET /health HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:48920 - "GET /health/db HTTP/1.1" 200 OK
civicgit_api  | 2025-11-24 18:44:03,709 - civicgit.auth - INFO - User logged in successfully: admin
civicgit_api  | INFO:     172.19.0.1:40114 - "POST /api/v1/auth/login HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:40114 - "OPTIONS /api/v1/proposals HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:40114 - "OPTIONS /api/v1/repositories HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:40116 - "OPTIONS /api/v1/proposals HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:40128 - "OPTIONS /api/v1/repositories HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:40116 - "GET /api/v1/repositories HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:40134 - "GET /api/v1/proposals HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:40116 - "GET /api/v1/repositories HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:40134 - "GET /api/v1/proposals HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:40128 - "OPTIONS /api/v1/repositories/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:40114 - "OPTIONS /api/v1/proposals/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:40114 - "GET /api/v1/repositories/ HTTP/1.1" 500 Internal Server Error
civicgit_api  | ERROR:    Exception in ASGI application
civicgit_api  | Traceback (most recent call last):
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/sqlalchemy/engine/base.py", line 1969, in _exec_single_context
civicgit_api  |     self.dialect.do_execute(
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/sqlalchemy/engine/default.py", line 922, in do_execute
civicgit_api  |     cursor.execute(statement, parameters)
civicgit_api  | psycopg2.errors.InvalidTextRepresentation: invalid input value for enum repositoryvisibility: "AFFILIATES_ONLY"
civicgit_api  | LINE 3: ...isibility = 'PUBLIC' OR repositories.visibility = 'AFFILIATE...
civicgit_api  |                                                              ^
civicgit_api  | 
civicgit_api  | 
civicgit_api  | The above exception was the direct cause of the following exception:
civicgit_api  | 
civicgit_api  | Traceback (most recent call last):
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py", line 426, in run_asgi
civicgit_api  |     result = await app(  # type: ignore[func-returns-value]
civicgit_api  |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/uvicorn/middleware/proxy_headers.py", line 84, in __call__
civicgit_api  |     return await self.app(scope, receive, send)
civicgit_api  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/fastapi/applications.py", line 1106, in __call__
civicgit_api  |     await super().__call__(scope, receive, send)
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/starlette/applications.py", line 122, in __call__
civicgit_api  |     await self.middleware_stack(scope, receive, send)
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/starlette/middleware/errors.py", line 184, in __call__
civicgit_api  |     raise exc
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/starlette/middleware/errors.py", line 162, in __call__
civicgit_api  |     await self.app(scope, receive, _send)
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/starlette/middleware/trustedhost.py", line 34, in __call__
civicgit_api  |     await self.app(scope, receive, send)
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/starlette/middleware/cors.py", line 91, in __call__
civicgit_api  |     await self.simple_response(scope, receive, send, request_headers=headers)
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/starlette/middleware/cors.py", line 146, in simple_response
civicgit_api  |     await self.app(scope, receive, send)
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/starlette/middleware/exceptions.py", line 79, in __call__
civicgit_api  |     raise exc
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/starlette/middleware/exceptions.py", line 68, in __call__
civicgit_api  |     await self.app(scope, receive, sender)
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/fastapi/middleware/asyncexitstack.py", line 20, in __call__
civicgit_api  |     raise e
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/fastapi/middleware/asyncexitstack.py", line 17, in __call__
civicgit_api  |     await self.app(scope, receive, send)
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/starlette/routing.py", line 718, in __call__
civicgit_api  |     await route.handle(scope, receive, send)
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/starlette/routing.py", line 276, in handle
civicgit_api  |     await self.app(scope, receive, send)
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/starlette/routing.py", line 66, in app
civicgit_api  |     response = await func(request)
civicgit_api  |                ^^^^^^^^^^^^^^^^^^^
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/fastapi/routing.py", line 274, in app
civicgit_api  |     raw_response = await run_endpoint_function(
civicgit_api  |                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/fastapi/routing.py", line 193, in run_endpoint_function
civicgit_api  |     return await run_in_threadpool(dependant.call, **values)
civicgit_api  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/starlette/concurrency.py", line 41, in run_in_threadpool
civicgit_api  |     return await anyio.to_thread.run_sync(func, *args)
civicgit_api  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/anyio/to_thread.py", line 33, in run_sync
civicgit_api  |     return await get_asynclib().run_sync_in_worker_thread(
civicgit_api  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/anyio/_backends/_asyncio.py", line 877, in run_sync_in_worker_thread
civicgit_api  |     return await future
civicgit_api  |            ^^^^^^^^^^^^
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/anyio/_backends/_asyncio.py", line 807, in run
civicgit_api  |     result = context.run(func, *args)
civicgit_api  |              ^^^^^^^^^^^^^^^^^^^^^^^^
civicgit_api  |   File "/app/app/api/v1/endpoints/repositories.py", line 176, in list_repositories
civicgit_api  |     repositories = query.order_by(RepositoryModel.created_at.desc()).all()
civicgit_api  |                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/sqlalchemy/orm/query.py", line 2693, in all
civicgit_api  |     return self._iter().all()  # type: ignore
civicgit_api  |            ^^^^^^^^^^^^
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/sqlalchemy/orm/query.py", line 2847, in _iter
civicgit_api  |     result: Union[ScalarResult[_T], Result[_T]] = self.session.execute(
civicgit_api  |                                                   ^^^^^^^^^^^^^^^^^^^^^
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/sqlalchemy/orm/session.py", line 2308, in execute
civicgit_api  |     return self._execute_internal(
civicgit_api  |            ^^^^^^^^^^^^^^^^^^^^^^^
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/sqlalchemy/orm/session.py", line 2190, in _execute_internal
civicgit_api  |     result: Result[Any] = compile_state_cls.orm_execute_statement(
civicgit_api  |                           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/sqlalchemy/orm/context.py", line 293, in orm_execute_statement
civicgit_api  |     result = conn.execute(
civicgit_api  |              ^^^^^^^^^^^^^
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/sqlalchemy/engine/base.py", line 1416, in execute
civicgit_api  |     return meth(
civicgit_api  |            ^^^^^
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/sqlalchemy/sql/elements.py", line 516, in _execute_on_connection
civicgit_api  |     return connection._execute_clauseelement(
civicgit_api  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
civicgit_api  |   File "/usr/local/lib/python3.11/site-packages/sqlalchemy/engine/base.py", line 1639, in _execute_clauseelement
civicgit_api  |     ret = self._execute_context(
civicgit_api  |           ^^^^^^^^^^^^^^^^^^^^^^
